id,price_doc
30474,5204188.0
30475,8268133.0
30476,5608194.5
30477,6005404.5
30478,5200536.5
30479,8812073.0
30480,4392864.0
30481,4357868.0
30482,4713250.5
30483,4962864.5
30484,6567884.0
30485,5198369.5
30486,3792881.5
30487,4564707.5
30488,6208398.5
30489,6188406.5
30490,20333760.0
30491,22475416.0
30492,6467982.5
30493,15861672.0
30494,7344129.5
30495,9673140.0
30496,8249812.5
30497,7562559.0
30498,4269265.0
30499,7447045.0
30500,12084405.0
30501,6662418.0
30502,3150319.0
30503,5476755.5
30504,5300220.5
30505,11481794.0
30506,3078994.75
30507,5014412.0
30508,5837893.0
30509,6501346.5
30510,10022739.0
30511,6178882.5
30512,6121631.5
30513,4392864.0
30514,3345856.0
30515,9769372.0
30516,6054243.0
30517,11359461.0
30518,7266089.5
30519,4651108.5
30520,6606808.0
30521,5578877.0
30522,8066641.0
30523,6134494.5
30524,9901833.0
30525,10479627.0
30526,5135710.0
30527,5495114.0
30528,6447025.5
30529,6564258.5
30530,5889249.5
30531,12483901.0
30532,4962273.0
30533,9152460.0
30534,7364300.5
30535,10034541.0
30536,5820082.5
30537,12256155.0
30538,5122439.5
30539,9878216.0
30540,10045782.0
30541,6439332.5
30542,2202654.0
30543,5611790.0
30544,6124224.0
30545,9249402.0
30546,4335479.0
30547,9113718.0
30548,4555348.5
30549,5190903.5
30550,13165222.0
30551,5234111.5
30552,2084371.125
30553,7724782.5
30554,10561437.0
30555,6511864.5
30556,8818614.0
30557,8135779.5
30558,7933926.0
30559,7144337.5
30560,5352540.5
30561,6397367.0
30562,11366895.0
30563,4862953.5
30564,7089024.0
30565,7371524.0
30566,7612712.5
30567,2212137.75
30568,10290898.0
30569,8889805.0
30570,6211336.0
30571,7958297.0
30572,5163954.5
30573,6611327.5
30574,6104724.5
30575,7320473.5
30576,4957940.0
30577,4353373.5
30578,3085608.5
30579,6651797.0
30580,4862003.0
30581,4719642.0
30582,12132767.0
30583,7352861.5
30584,4023744.0
30585,2778376.25
30586,9063619.0
30587,5732495.5
30588,7632005.0
30589,6346480.5
30590,10568590.0
30591,4647632.0
30592,6972991.5
30593,8275919.0
30594,7463341.0
30595,5442719.0
30596,6536746.5
30597,6572759.0
30598,10132763.0
30599,12289466.0
30600,6220216.0
30601,6200836.5
30602,2201935.75
30603,12555061.0
30604,4563192.5
30605,6840802.5
30606,16378291.0
30607,6307814.5
30608,9051492.0
30609,6214209.5
30610,3077441.75
30611,5867861.5
30612,7058329.5
30613,8509669.0
30614,19719772.0
30615,7003040.5
30616,5867861.5
30617,8842354.0
30618,4510232.0
30619,4506521.5
30620,2823478.0
30621,8472516.0
30622,7616169.0
30623,6273367.5
30624,6851830.0
30625,7910625.5
30626,6636380.5
30627,6432808.0
30628,6567884.0
30629,4874840.5
30630,4693984.5
30631,6679232.5
30632,3963009.0
30633,5197626.0
30634,10866950.0
30635,10022739.0
30636,4803617.5
30637,10022739.0
30638,5439237.0
30639,7833682.0
30640,4711291.5
30641,8526061.0
30642,6406060.5
30643,8292328.0
30644,10125248.0
30645,6133026.5
30646,4953710.0
30647,5277307.0
30648,20741532.0
30649,2793371.25
30650,4927296.5
30651,3078994.75
30652,4715157.0
30653,6207273.5
30654,4853321.0
30655,11764394.0
30656,4007021.25
30657,6256853.0
30658,8703332.0
30659,5185530.5
30660,7967052.5
30661,6225034.5
30662,8897082.0
30663,11312175.0
30664,12639589.0
30665,6146804.0
30666,2537160.0
30667,4145276.0
30668,8971088.0
30669,5192795.0
30670,2655153.0
30671,7300109.5
30672,12125179.0
30673,11172007.0
30674,12207279.0
30675,2210117.5
30676,6617951.0
30677,4529560.0
30678,17503472.0
30679,6046672.5
30680,5617760.5
30681,2325248.75
30682,8407376.0
30683,10264316.0
30684,4934223.0
30685,7504258.0
30686,9146143.0
30687,5127933.0
30688,4621374.0
30689,12762459.0
30690,21305044.0
30691,4621184.5
30692,5681081.5
30693,9902740.0
30694,5618853.5
30695,6568109.5
30696,7080429.5
30697,13208433.0
30698,7250349.0
30699,5715938.5
30700,4954664.0
30701,9943508.0
30702,6115137.0
30703,3915374.75
30704,11715914.0
30705,8770196.0
30706,19793068.0
30707,3878781.75
30708,10390302.0
30709,6202397.5
30710,6369564.5
30711,4721821.0
30712,4121309.75
30713,5763027.5
30714,6611409.5
30715,3937576.25
30716,10087062.0
30717,6017409.0
30718,9465676.0
30719,13664204.0
30720,5756172.5
30721,3526111.25
30722,7320152.5
30723,6499598.5
30724,12425605.0
30725,6766342.0
30726,11965005.0
30727,9551732.0
30728,11263131.0
30729,3621219.25
30730,6177586.5
30731,6549619.5
30732,4863463.5
30733,9454831.0
30734,6595709.5
30735,5731971.0
30736,6309643.5
30737,8102740.0
30738,5832679.0
30739,3917100.0
30740,6998213.5
30741,10390223.0
30742,4208680.0
30743,5035070.0
30744,9840493.0
30745,6724970.5
30746,5731971.0
30747,16290993.0
30748,18543360.0
30749,4681998.0
30750,6494053.0
30751,3997113.0
30752,6535001.0
30753,9330716.0
30754,5384185.0
30755,4721695.0
30756,7816406.0
30757,5194935.0
30758,9750384.0
30759,5894070.0
30760,4256743.5
30761,9816834.0
30762,6708687.5
30763,12088048.0
30764,6192527.5
30765,5209595.5
30766,3862886.25
30767,9291255.0
30768,4331986.5
30769,6468013.5
30770,6151806.5
30771,3124587.0
30772,8101503.5
30773,8096097.0
30774,5829181.0
30775,7694057.5
30776,5594060.5
30777,6187492.0
30778,8887330.0
30779,6297458.0
30780,7696068.0
30781,6331259.0
30782,4909870.5
30783,5539623.0
30784,3763820.75
30785,5269522.0
30786,4217475.0
30787,6392250.5
30788,5589544.0
30789,6900165.0
30790,6857641.5
30791,10346281.0
30792,6966351.0
30793,10056422.0
30794,13941921.0
30795,9539989.0
30796,8052821.0
30797,15842624.0
30798,2943612.0
30799,10368209.0
30800,11188747.0
30801,6597515.0
30802,13768222.0
30803,2780833.5
30804,3430761.5
30805,11117186.0
30806,6700989.0
30807,6416632.5
30808,10653960.0
30809,5277372.5
30810,10751086.0
30811,4357868.0
30812,4843994.5
30813,5272593.0
30814,2956119.5
30815,4536866.5
30816,7872589.0
30817,2182411.75
30818,8209675.5
30819,8631098.0
30820,5094111.0
30821,26294976.0
30822,9640815.0
30823,6654239.5
30824,3822600.25
30825,5210862.5
30826,9325823.0
30827,5830209.5
30828,5695723.5
30829,6075406.0
30830,9524680.0
30831,5241014.5
30832,5289273.5
30833,5211578.0
